TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
15	113038	94	-56	-942	-113	-407	-517	-2.75	2.1875	-22.5625	0.000951847	0.7793829	-0.6262125	0.02048109	0	0	0
31	113058	112	-110	-952	-125	-412	-514	-3	1.0625	-20.0625	0.004236585	0.7655562	-0.6429392	0.02312969	0	0	0
15	113078	141	-18	-992	-134	-412	-499	-0.625	0.375	-7.4375	0.008589711	0.7515557	-0.6591781	0.0239697	0	0	0
15	113098	99	43	-972	-143	-414	-488	-0.375	2	-4.8125	0.01099665	0.7374275	-0.6748462	0.02573461	0	0	0
15	113118	109	-79	-1001	-142	-419	-477	0	0.4375	-8	0.01438214	0.7244938	-0.6886232	0.02645547	0	0	0
31	113138	112	26	-988	-145	-419	-470	0.4375	-0.9375	-7.1875	0.01665566	0.7127292	-0.7007336	0.02668623	0	0	0
15	113158	71	42	-969	-143	-424	-466	-0.9375	1.1875	1	0.01912164	0.7013473	-0.7120765	0.02633452	0	0	0
15	113177	86	51	-948	-149	-424	-462	-0.875	3.125	8.25	0.02160496	0.6900207	-0.7230222	0.02536704	0	0	0
31	113197	101	-55	-958	-142	-424	-464	-1.0625	2.5	8.625	0.02348986	0.6788139	-0.7334782	0.02587751	0	0	0
15	113217	165	-22	-1008	-128	-424	-470	-2.9375	2.8125	19.875	0.02777499	0.6676773	-0.7434964	0.02546863	0	0	0
15	113237	129	76	-983	-123	-425	-473	-0.1875	3.25	16.625	0.03172648	0.6578897	-0.7520446	0.02456771	0	0	0
31	113257	181	23	-987	-109	-425	-485	-3.0625	3.875	7.875	0.03566294	0.6491293	-0.7594445	0.02456334	0	0	0
15	113277	143	118	-981	-94	-428	-483	0.5	2.6875	7.875	0.03910326	0.6430289	-0.7644916	0.02318396	0	0	0
15	113297	47	95	-972	-67	-427	-494	-1.75	3.25	3.5	0.04038213	0.6412145	-0.7660364	0.02003652	0	0	0
15	113317	40	111	-993	-47	-432	-503	-3.25	2.75	12.5625	0.04157679	0.6406848	-0.7664946	0.01674336	0	0	0
46	113337	73	82	-984	-18	-434	-499	-1.75	1.5	14.25	0.04245179	0.6409799	-0.7662415	0.01471813	0	0	0
15	113357	90	45	-947	-2	-432	-512	-0.75	4.75	10.1875	0.04365081	0.6431163	-0.7644144	0.01291701	0	0	0
15	113377	-95	108	-1019	37	-433	-517	-2.125	2.9375	14	0.04258161	0.6481517	-0.7602462	0.01058159	0	0	0
15	113396	-35	53	-999	52	-433	-516	-2.1875	3.125	8.9375	0.04078592	0.6553878	-0.7541417	0.008584474	0	0	0
15	113416	2	44	-992	99	-438	-521	-0.75	1	13.875	0.03959974	0.6647472	-0.7459864	0.006882901	0	0	0
15	113436	-49	21	-990	132	-436	-527	-2.75	1.0625	20.8125	0.03727303	0.6743265	-0.7374802	0.004173272	0	0	0
15	113456	35	2	-980	148	-436	-515	-0.6875	1.5	25.6875	0.0347994	0.6832402	-0.7293561	0.003411132	0	0	0
31	113476	-74	10	-993	182	-433	-509	-2.375	1.5625	20	0.03151068	0.6947951	-0.7185165	0.0008983096	0	0	0
15	113496	-76	-8	-967	197	-434	-499	-2	2.375	18.6875	0.02712279	0.7084091	-0.7052731	-0.003298584	0	0	0
15	113516	-83	5	-969	220	-437	-489	-2.1875	2.1875	11.5	0.02403986	0.7206632	-0.6928462	-0.005538832	0	0	0
31	113536	-46	16	-991	228	-437	-486	-1.75	2.75	12.875	0.02162164	0.7325446	-0.6803329	-0.007613446	0	0	0
15	113560	-96	1	-982	252	-435	-476	-1.625	2.9375	10.25	0.01920646	0.7441577	-0.6676627	-0.009324006	0	0	0
15	113580	-90	6	-980	260	-432	-479	-1.5625	2.1875	4.4375	0.01689394	0.7554491	-0.6549034	-0.01061523	0	0	0
15	113599	-173	40	-988	270	-436	-470	-1.5625	2.6875	1.5625	0.01441192	0.7671117	-0.6411984	-0.01401561	0	0	0
31	113619	5	-1	-977	269	-441	-466	-1.875	2.25	1	0.01320891	0.7767143	-0.6295261	-0.01540668	0	0	0
15	113639	6	-7	-988	276	-438	-464	-1.625	2.25	1.0625	0.01267518	0.7847655	-0.6195107	-0.01374789	0	0	0
15	113659	-2	-2	-984	272	-437	-470	-1.375	2.625	0.375	0.0122091	0.7921464	-0.6100844	-0.01233381	0	0	0
